n,title,is_pr,state,created,closed,author,comments,labels
926,Preset does not autoload,False,CLOSED,2024-07-24,2024-08-07,Namlev1,5,
927,Replugging a device doesn't autoload every other time.,False,OPEN,2024-07-24,,PavelDobCZ23,1,
928,Unable to install on openSuse Leap,False,OPEN,2024-07-25,,bakai-taalaibek,0,
929,input-remapper-control doesn't list devices available in input-remapper-gtk,False,OPEN,2024-07-26,,a9udn9u,7,
930,Waynergy keyboard support,False,OPEN,2024-07-28,,donjan,0,
931,Add optional acceleration to the mouse macro.,True,MERGED,2024-07-30,2024-08-13,jdoda,3,
932,Failed to start input-remapper.service,False,CLOSED,2024-07-31,2024-08-02,Aqua1ung,0,
933,"Mapping mouse & apply , but nothing happens on CachyOS",False,OPEN,2024-07-31,,BearGork,1,
934,Reinstalling doesn't work,False,OPEN,2024-08-04,,cgthayer,1,
935,Input-remapper needs CONSTANT restarting!,False,OPEN,2024-08-04,,eobet,6,
936,Mouse with Fire Button,False,OPEN,2024-08-06,,cleberabreu87,1,
937,"Update black formatting, fix reviewdog",True,MERGED,2024-08-06,2024-08-06,sezanzeb,0,
938,Can't cascade mappings ,False,OPEN,2024-08-07,,v3ai,0,
939,Start injection failure,False,CLOSED,2024-08-09,2024-08-10,Chalsean,1,
940,Gentoo: ERROR input-remapper-gtk:50: Failed to pkexec the reader-service,False,OPEN,2024-08-16,,xoores,0,
941,mouse() does not chain with itself,False,CLOSED,2024-08-17,2025-01-12,umnikos,3,
942,Erratic behavior using if_eq() function in a macro,False,OPEN,2024-08-20,,sabudum,1,
943,Multiple autoloads,False,OPEN,2024-08-20,,Heinrich-XIAO,1,
944,Autoload not working,False,OPEN,2024-08-21,,Heinrich-XIAO,0,
945,error running ./inputmapper/scripts/build.sh,False,OPEN,2024-08-22,,rytrot,0,
946,Razer Naga Trinity Mouse Wheel Left/Right Not Independent of Scroll Function,False,OPEN,2024-08-22,,BrockFrancis,3,
948,input-remapper-service causes system to freeze on resume from hybrid suspend,False,OPEN,2024-08-30,,mdpenguin,0,
949,how to bind keyboard and mouse together?,False,OPEN,2024-09-03,,chopin1998,2,
951,Can't Install from Source on Debian Bookworm,False,OPEN,2024-09-08,,TechD123,0,
952,"How do I get it to press one key, wait and then hold another?",False,OPEN,2024-09-09,,SmurgBurglar,1,
953,"""Disable while typing"" touchpad option not working when using input-remapper",False,OPEN,2024-09-10,,tai-mai,0,
